question,choices1,choices2,choices3,answer,comment
1.浜崎の住吉神社の夏祭りにおいて、江戸時代から巡行が続いている華やかな山車(だし)は、御船と何？(23),踊り車,御神幣,猿田彦面,1,住吉神社の夏祭りは、江戸時代から華やかな山車、御船と踊り車が繰り出す祭として知られている。
2.萩地方で元旦に飲む大福(おおふく)と呼ぶ茶の中に入れるものは何？(1),梅干し,フグの干物,黒砂糖,1,萩市三島においては、年越しの行事を、大晦日の深夜に行う。大福茶（福茶ともいう）という梅干しの入ったお茶と共に、オフクラカシと呼ぶ小餅を焼いたものをいただく。
3.住吉神社の神輿を伝統的組織が担ぐ時の掛け声は、次のうちどれ？(27),チョウサッ,セイヤッ,オイサッ,3,通常は「オイサッオイサッ」という掛け声で、神輿を大きく盛り上げて神霊を励ます際には「ホーランエーノ、ヨイヤサノサッサ」という掛け声も聞かれる。
4.萩地方の蒲鉾は「焼き抜き」という製法で作られる。これはどのような製法？(38),魚のすり身を入れた型を焼く,板に盛ったすり身を炙る,ガマの穂にすり身を塗って焼く,2,蒲鉾板の上にすり身を盛り、それを板の下から炙って作られる。
5.萩地方で一夜干しや南蛮漬けとしてよく食されるユニークな呼び名の魚はどれ？(40),金太郎,庄屋の婆,三十郎,1,萩市ではヒメジという赤い魚のことを金太郎と呼ぶ。赤い体が金太郎を連想させるという意見もあるが、名前の由来は定かではない。
6.萩地方で客事の際によく作られる「いとこ煮」に入っている豆はどれ？(39),インゲン豆,おたふく豆,あずき,3,いとこ煮は、昆布だし汁に椎茸、砂糖、醤油を合わせて味付けし、一度煮上げた状態のあずきを最後に入れる。
7.かつて三角州内の低湿な場所で多くみられたトンボを、はぎの子どもたちは何を使って捕っていた？(49),釣竿と糸,針金と蜘蛛の巣,笹竹,1,まずはメスのトンボを捕り、釣竿の先に結んだ糸で軽く縛って空を泳がせ、絡みつくオストンボを釣り捕るもので、トンボ釣りと呼ばれた。
8.伊藤博文旧宅敷地にある像は何製？(96),陶製,銅製,コンクリート製,1,昔は銅像であったが、戦時中に供出された。現在は萩焼の像が設置されている。
9.田万川地域の小川で桃・梨・葡萄などの果樹園が盛んに行われている台地の名前は？(131),鶴江台,千石台,平山台,3,平山台が開拓されたのは中世後期頃と推測されており、果樹園として果樹の栽培が始まったのは昭和30年代。
10.福栄地域の特産品で野菜や果物をそのまま炭にした商品の名前は？(139),お炭つき,お炭さま,お炭です,1,「お炭つき」は特許を取得しており、観賞用として、また部屋の脱臭や浄化効果。リラックス効果もある。
11.萩博物館の建物の一部で資料をもとに復元されたのはどこ？(172),長屋門,隅矢倉,玄関,2,博物館にある隅矢倉は昭和20年代まで残されていた。残された基礎石と古写真、そして実際に建物を使用していた人からの聞き取り調査を参考に復元された。
12.萩地方の方言で、親友のことを何という？(72),チングー,ポンユー,ホーバイ,1,朝鮮語で友人のことをチングと表現するが、島根県から山口県、北九州から福岡県、佐賀県、長崎県の海沿いの一部でも親友のことをチングーと呼ぶ。
13.萩地方では、苗字ではなく別の呼び名で呼ぶことがあるが、その呼び名を何と言う？(79),四股名（しこな）,字（あざな）,門名（カドナ）,3,越ヶ浜では越前屋、越後屋といった船宿だったことを表す門名、油屋や豆腐屋といった生業を表す門名、忠兵衛や又兵衛といった先祖を表す門名など多種多様な門名が伝えられている。
14.国指定重要文化財菊屋家住宅などに見られる瓦を貼り付けている壁を何と言う？(163),海鼠壁（なまこ壁）,貼り壁,瓦壁,1,瓦の目地を漆喰で盛り上げた形が海鼠（半円形）に似ていることから海鼠壁（なまこ壁）と言う名前がついた。
15.毎年4月29日に川上で実施される川上地域の無形文化財の行事はなに?(9),的まつり,義民おどり,神楽舞,1,的を怪物の目、頭、銅に見立てて次々に射的して退治し、五穀豊穣を祈念する。
16.萩地方の農村部で行われる田植え後の慰労会を何と呼ぶ？(16),ドロオシ,オコモリ,サナボリ,1,田植え後の道具仕舞いや慰労のことをドロオシという。ちなみにテマガエ（手間換え）は近隣同士の労力交換のことで、サナボリは田植え終了を感謝して田の神を送る儀式のこと。
17.むつみ地域の木部下野田地区において、牛馬の安全祈願のために行われている火祭りはどれ？(19),どんど焼き,とへとへ,柱松,3,牛馬の安全祈願のために行われている火祭りを柱松といい、その昔疫病が流行して農耕に欠かせぬ牛馬が多く死んだ際に、地区の祇園様に願掛けとしてこの祭を行ったところ、疫病が止んだと伝えられている。
18.大島では祭や客事の際、炊いたご飯に煮込んだ加薬を合わせた混ぜご飯が作られる。この混ぜ飯を何と呼ぶ？(42),かて飯,まぶり飯,三宝飯(さんぼう),2,まぶり飯は加薬を炊き込むのではなく、あらかじめ調理した加薬を炊いたご飯にまぶす（混ぜる）ことが特徴。
19.むつみ地方の方言で「おごる」とは何を意味する？(76),人にご馳走する,叱る,勢いが盛んになる,2,「おごる」は「叱る」の方言で、現在でも使われている方言。
20.萩王還の中で急な上り坂と石畳で有名な一升谷の名前の由来となったものは何？(84),水,豆,米,2,登り終えるまでに一升の豆を食べるほど険しいことから、その名前が付けられたとされる。
21.萩特産のチリメンジャコは、何の稚魚を漁獲し釜茹でした後に干したもの？(120),カタクチイワシ,アジ,トビウオ,1,曳網で漁獲されるカタクチイワシは水揚げ後すぐに熱湯に通し乾燥させる。
22.萩市民間の夜景を彩るホールの照明デザインと同じ人による照明デザインが施されているのはどれ？(200),東京タワー,東京ドーム,東京都庁,1,照明デザイナーは石井幹子。代表作としては東京タワー、東京湾レインボーブリッジ、姫路城のアドがあり、萩市民館の照明デザインは最も初期の作品にあたる。
23.福栄地域のサンサン広場に設置されているものはどれ？(138),高床式倉庫,竪穴住居,前方後円墳,2,竪穴住居が設置されている。平成7年に発掘調査が行われた坂部遺跡を具体的にイメージできるよう設置された。
24.三見地区の眼鏡橋と呼ばれる三見橋はいつ建設されたもの？(175),明治時代,大正時代,昭和時代,2,大正3年(1914)に建設。単一アーチ型石橋としては県内で最大である。平成10年(1998)に国の登録有形文化財に登録された。
25.萩地方では漁船を操る際に「ゴーヘイ」という言葉がよく用いられるが、これはどういう意味？(122),前進,進路維持,イカリ投入,1,英語のGo aheadがなまったもので、前進の意味。
