question,choices1,choices2,choices3,answer,comment
1.見島では正月に６畳から８畳分もある鬼の絵を描いた鬼ヨウズと呼ばれる凧をあげるが、その目的は？(3),豊作の祈願,火難除けの祈願,男児の成長の祈願,3,男児の生まれた家の親戚知人が年末に材料を持って集まり、大きなヨウズを作る。正月にこれを上げ、高く上がれば上がるほど元気に育つと言われている。
2.見島では正月の間に口にしてはならない「忌み言葉」があるが、その中で「寝る」という言葉は何と言い換える？(4),稲を積む,若水を汲む,機（はた）を折る,1,三島では正月の間に口にしてはならない「忌み言葉」が幾つかあり、別の言葉に言い換える風習がある。そのうち「寝る」という言葉は「稲を積む」と言い換える。
3.むつみ地域の高佐下陰畑の「景(かげ)の河内(こうち)様」は、なんの神様？(7),火の神,天の神,水の神,3,景の河内様は水の神として祀られており、旧藩士内藤氏の給領地の五穀豊穣を祈念するため旧暦2月24日（現在は3月24日）にその年の作柄と水量を占う。
4. 大島で雛の節句を祝う際に、良縁に恵まれるようにと雛壇に供えるものは何？(11),アワビとサザエ,男女の紙人形,男女の帯,1,大島では雛壇にアワビとサザエをお供えする。萩地方では新暦4月3日に女児のある家で雛の節句を祝い、それをみに来る近所の人を接待するという風習もある。
5.萩地方の端午の節句で、魔除けとして軒端に挿したり、屋根に上げたりしていたのは菖蒲と何？(12),ヒイラギ,トラベ,ヨモギ,3,端午の節句では魔除けとして菖蒲（花菖蒲とは異なる）もヨモギが使われる。ヒイラギやトラべは節分の日に使われる。
6.玉江や越ヶ浜の和船競走において、船尾の櫓(ろ)は船のどちらがえわの舷で漕ぐ？(15),左舷側,右舷側,両方の舷,2,全国的には左舷側で漕ぐことが多いが、島根県の西部あたりから山口県の日本海沿岸、北九州の一部においては右舷側で漕ぐ。
7.川島地区の聖奉納の関係者は、天神様の嫌いなものを現在でも飼わない。それは何？(33),豚,牛,鶏,3,火難除けを天神様に祈願することから、天神様が嫌いとされる鶏を飼わない。飼うと火事が起きると伝えられている。
8.萩地方の石工職人は、石材を割る際に用いられたクサビを何と呼んだ？(56),ヤ,セットウ,タガネ,1,石の目に沿って矢穴を彫り、そこに矢を打ち込んで石を割る。このことからヤと呼ばれていた。
9.大島や相島で黒松の幹と、5〜6方向に伸びる枝を利用して自作する背負籠を何と呼ぶ？(58),釈迦の手,鳥の巣,傘籠,2,形状が鳥の巣に似ていることから鳥の巣と呼ばれる。
10.かつて日本海を航海する回船などが須佐の高山を通過する際に行ったことは？(89),帆を上げて遥拝,若手乗組員の前転,祝い唄の奉納,1,高山は江戸時代から日本海航路の目印となっており、かつて高山を通り過ぎる際は帆を上げて遥拝していた。
11.江戸時代、沿岸捕鯨が盛んだった山口県日本海側で、鯨が一頭獲れるといくつの浦(漁業集落)が潤った？(115),五浦,七浦,八浦,2,11月から翌年2月末頃まで、萩沖から青海島方面に来遊し捕獲され、１頭捕まえると七浦が潤うと言われた。
12.田万川地域の小川は県下一の桃の産地であるが、栽培されていた中国産の桃の名前は？(130),楊貴桃,竜宮桃,肥城桃,3,肥城桃は山口県と友好協定を結ぶ中国山東省から県外不出を条件に、その穂木が贈られ、山口県内の一部の地域で栽培された。
13.むつみ地域の開拓地、千石台は県内でもある野菜の有数の産地である。その野菜は？(132),大根,茄子,人参,1,この地区は国の野菜（だいこん）指定産地に指定されている。
14.福栄地域ではシクラメンの栽培が盛んであるが、シクラメンの標準和名は？(141),ハナビバナ,トモシミバナ,カガリバナ,3,赤い花びらが上方に反り返って咲く姿が、篝火（かがりび）に似ているため、カガリバナと呼ばれる。
15.森寛斎の養父である森撤山は、京都の有名な画家の高弟であるが、それは誰？(146),土佐光起,狩野探幽,円山応挙,3,円山応挙は写生を基本とした画風をうちたて一家を成した。また応挙の弟子たちは明治維新後も京都だけでなく、全国各地で活躍した。
16.重要文化財常念寺表門の構造を何という？(161),薬医門,四脚門,高麗門,2,常念寺表門の構造は四脚門という。豊臣秀吉の居館であった京都「聚楽第」の裏門であったと伝えられている。
17.市指定夕景文化財南明寺観音の屋根の形を何という？(169),宝形造,切妻造,入母屋造,1,南明寺観音堂の屋根は宝形造でできている。これは平面が正方形の建物に見られる屋根様式で四面の屋根面が一つの頂点に集まるもの。
18.一般的な萩の町屋の形式はどれ？(186),切妻造妻入り,入母屋造妻入り,切妻造平入り,3,一部の角地に建つ町屋を除いては、ほぼ切妻造平入りである。
19.家のカドとはどういう意味？(193)　,前庭,部屋の隅,裏手,1,前庭の意味で、屋敷地の出入り口は門口とも呼ぶ。農家の前庭は農作業を行うことから広い。
20.伝統的町屋の奥に設けられた坪庭（中庭）は風を採り入れる以外にどのような機能がある？(190),音を採り入れる,光を採り入れる,雨水を採り入れる,2,中庭があることで、町屋内部に風や光を採り入れることができた。家と家が接した町人地のまちyあでも風が通り抜け、夏場でも涼しく過ごすことができる。
21.刀の鍔で今の山口県下において制作されたものを何という？(149),萩鍔,長州鍔,長府鍔,2,長州鍔は室町末期n京都の戦乱を避けて山口に移住した鍔工が、長州鍔を制作したのが最初と伝えられている。長州鍔と称されることが多いが、萩で制作されたものが多い。
22.萩地方に伝わる神楽舞の一部の演目において、舞手が失神状態になることがある。この状態を何と言う？(70),鬼がつく,鬼が舞う,鬼が笑う,1,舞手が見物人に囃し立てられながら激しく舞うことで失神状態になることがあり、これを鬼がつくと言う。鬼がつくと豊作になると言う言い伝えもある。
23.相島では、裂いた古布を緯糸に使う裂織の作業着が作られていたが、これを何とよぶ？(59),ドンザ,サシコ,ツヅリ,3,裂いた古布を緯糸に使う裂織の作業着をツヅリと呼んだ。厚手の丈夫な布で、嫁入り前に数着調えたものが一生使えたという。
24.旭地域で日本で一番最後まで行っていた珍しいことは何？(99),村役場の定期移動,村名の定期変更,村長二人制,1,旭地区では定期的に庁舎移転をしていた。平成8年に固定化され現在は旭総合事務所になっている。
25.阿武川ダムが建設される以前、三角州の海抜が低い一帯が持っていた重要な機能は？(108),貯水池,遊水池,蓄養池,2,三角州の低湿な一帯は、遊水池としての機能を持っており、蓮田（蓮根畑）や水田として利用された。
